Cinema,Latitude,Longitude,Number of Records,Number,Screens,Seatss,Year
אביב,32.0638934,34.7615574,1,1,1,0,1948
אביב,32.0638934,34.7615574,1,1,1,0,1949
אביב,32.0638934,34.7615574,1,1,1,0,1950
אביב,32.0638934,34.7615574,1,1,1,0,1951
אביב,32.0638934,34.7615574,1,1,1,0,1952
אביב,32.0638934,34.7615574,1,1,1,0,1953
אביב,32.0638934,34.7615574,1,1,1,0,1954
אביב,32.0638934,34.7615574,1,1,1,0,1955
אביב,32.0638934,34.7615574,1,1,1,0,1956
אביב,32.0638934,34.7615574,1,1,1,0,1957
אביב,32.0638934,34.7615574,1,1,1,0,1958
אביב,32.0638934,34.7615574,1,1,1,0,1959
אביב,32.0638934,34.7615574,1,1,1,0,1960
אביב,32.0638934,34.7615574,1,1,1,0,1961
אביב,32.0638934,34.7615574,1,1,1,0,1962
אביב,32.0638934,34.7615574,1,1,1,0,1963
אביב,32.0638934,34.7615574,1,1,1,0,1964
אביב,32.0638934,34.7615574,1,1,1,0,1965
אביב,32.0638934,34.7615574,1,1,1,0,1966
אביב,32.0638934,34.7615574,1,1,1,0,1967
אביב,32.0638934,34.7615574,1,1,1,0,1968
אביב,32.0638934,34.7615574,1,1,1,0,1969
אביב,32.0638934,34.7615574,1,1,1,0,1970
אביב,32.0638934,34.7615574,1,1,1,0,1971
אביב,32.0638934,34.7615574,1,1,1,0,1972
אביב,32.0638934,34.7615574,1,1,1,0,1973
אביב,32.0638934,34.7615574,1,1,1,0,1974
אופיר,32.0668835,34.7687775,1,2,1,0,1928
אופיר,32.0668835,34.7687775,1,2,1,0,1929
אופיר,32.0668835,34.7687775,1,2,1,0,1930
אופיר,32.0668835,34.7687775,1,2,1,0,1931
אופיר,32.0668835,34.7687775,1,2,1,0,1932
אופיר,32.0668835,34.7687775,1,2,1,0,1933
אופיר,32.0668835,34.7687775,1,2,1,0,1934
אופיר,32.0668835,34.7687775,1,2,1,0,1935
אופיר,32.0668835,34.7687775,1,2,1,0,1936
אופיר,32.0668835,34.7687775,1,2,1,0,1937
אופיר,32.0668835,34.7687775,1,2,1,0,1938
אופיר,32.0668835,34.7687775,1,2,1,0,1939
אופיר,32.0668835,34.7687775,1,2,1,0,1940
אופיר,32.0668835,34.7687775,1,2,1,0,1941
אופיר,32.0668835,34.7687775,1,2,1,0,1942
אופיר,32.0668835,34.7687775,1,2,1,0,1943
אופיר,32.0668835,34.7687775,1,2,1,0,1944
אופיר,32.0668835,34.7687775,1,2,1,0,1945
אופיר,32.0668835,34.7687775,1,2,1,0,1946
אופיר,32.0668835,34.7687775,1,2,1,0,1947
אופיר,32.0668835,34.7687775,1,2,1,0,1948
אופיר,32.0668835,34.7687775,1,2,1,0,1949
אופיר,32.0668835,34.7687775,1,2,1,0,1950
אופיר,32.0668835,34.7687775,1,2,1,0,1951
אופיר,32.0668835,34.7687775,1,2,1,0,1952
אופיר,32.0668835,34.7687775,1,2,1,0,1953
אופיר,32.0668835,34.7687775,1,2,1,0,1954
אופיר,32.0668835,34.7687775,1,2,1,0,1955
אופיר,32.0668835,34.7687775,1,2,1,0,1956
אופיר,32.0668835,34.7687775,1,2,1,0,1957
אופיר,32.0668835,34.7687775,1,2,1,0,1958
